,
Connected,f240bbac-87c9-4f6e-bf70-924b57d47db7
Booked Test,f72848b8-6063-4591-9832-a4e4604864f5
Booked Test- Single Leg,0823d714-3974-4bb4-a65a-ecf3596f49ac
No answer,73a0d17f-1163-4015-bdd5-ec830791da20
Wrong number,17b47fee-58de-441e-a44c-c6300d46f273
Not interested,5e8c009f-db89-4e1a-9c9a-429b45faf0c0
RO only,ba63d1f1-e3ef-400a-a3c0-c6e1f1a5d6a4
New Build,21467e3f-24c5-4b82-9e37-e918d77d2c48
Water Source,a8a9584b-366a-4a68-a185-21ce4181d78c
Phone Pitch- CHF,6c20cc50-781f-4543-a773-d4698f649bcf
Wants Follow Up,937b1e0e-ab79-49c8-9e8f-a5efd6966c3f
Internal - Closed Deal,def5ec8d-b566-413c-b558-e4a39884ab8b
Internal - Deposit Taken ,5f7f3f43-e0d0-4c03-ba44-09894047c474
Busy,9d9162e7-6cf3-4944-bf63-4dff82258764
Left live message,a4c4c377-d246-4b32-a13b-75a56a4cd0ff
Left voicemail,b2cf5968-551e-4856-9783-52b3da59a7d0
Unable to Service,109bdbfc-6552-40e0-8eb2-0e58c13208a1
Other Departments,c5067c48-aaf1-4f67-9c56-6a749b666817
Needs Call Back,4aa8b662-f76e-4557-8a24-ffae50519382
Not Qualified,7cb0159d-1cc0-4f56-919e-e1231a7be7af